name;brand;pvp;description;image
10XAJ-BRANDPLATES-B;AJAX;102;Pack 10 cubiertas personalizables para sirena exterior - Personalizable sin coste adicional en Visiotech - Color negro - Apto para uso exterior - No incluye sirena;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/10XAJ-BRANDPLATES-B/10XAJ-BRANDPLATES-B.png
10XAJ-BRANDPLATES-W;AJAX;102;Pack 10 cubiertas personalizables para sirena exterior - Personalizable sin coste adicional en Visiotech - Color blanco - Apto para uso exterior - No incluye sirena;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/10XAJ-BRANDPLATES-W/10XAJ-BRANDPLATES-W.png
10XAJ-KEYMCP;AJAX;12.6;Herramienta para restablecer el botón de alarma - Compatible con AJ-MANUALCALLPOINT - Pack de 10 unidades - Plástico ABS;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/10XAJ-KEYMCP/10XAJ-KEYMCP.png
10XAJ-PASS-B;AJAX;58;Pack de 10 tarjetas de acceso sin contacto - Tecnología Mifare DESFire® - Compatible con KeyPad Plus, KeyPad TouchScreen y - KeyPad Outdoor - Máxima seguridad y rápida identificación de usuarios - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/10XAJ-PASS-B/10XAJ-PASS-B.png
10XAJ-PASS-W;AJAX;58;Pack de 10 tarjetas de acceso sin contacto - Tecnología Mifare DESFire® - Compatible con KeyPad Plus, KeyPad TouchScreen y - KeyPad Outdoor - Máxima seguridad y rápida identificación de usuarios - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/10XAJ-PASS-W/10XAJ-PASS-W.png
10XAJ-TAG-B;AJAX;66.2;Pack de 10 llaveros de acceso sin contacto - Tecnología Mifare DESFire® - Compatible con KeyPad Plus, KeyPad TouchScreen y - KeyPad Outdoor - Máxima seguridad y rápida identificación de usuarios - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/10XAJ-TAG-B/10XAJ-TAG-B.png
10XAJ-TAG-W;AJAX;66.2;Pack de 10 llaveros de acceso sin contacto - Tecnología Mifare DESFire® - Compatible con KeyPad Plus, KeyPad TouchScreen y - KeyPad Outdoor - Máxima seguridad y rápida identificación de usuarios - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/10XAJ-TAG-W/10XAJ-TAG-W.png
AJ-AC220V-PCB1;AJAX;34;Módulo alimentación 220 VA - Hub, Hub Plus y ReX - Fácil reemplazo;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-AC220V-PCB1/AJ-AC220V-PCB1.png
AJ-AC220V-PCB2;AJAX;34;Módulo alimentación 220 VA - Compatible con Ajax Hub 2, Hub 2 Plus y ReX 2 - Fácil reemplazo;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-AC220V-PCB2/AJ-AC220V-PCB2.png
AJ-BASEBALLBAT-B;AJAX;60;Bate de baseball - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BASEBALLBAT-B/AJ-BASEBALLBAT-B.png
AJ-BATTERYBOX-14M;AJAX;334;Kit batería con caja poliéster - Duración hasta los 14 meses - Batería no recargable - Fácil instalación - Ideal para una segunda vivienda o vivienda vacía;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BATTERYBOX-14M/AJ-BATTERYBOX-14M.png
AJ-BATTERYBOX-7M;AJAX;222;Kit batería con caja poliéster - Duración hasta 7 meses - Batería no recargable - Fácil instalación - Ideal para segunda vivienda o vivienda vacía;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BATTERYBOX-7M/AJ-BATTERYBOX-7M.png
AJ-BATTERYKIT-12M;AJAX;410;Kit de alarma autónomo - Hub 2 de 6V y batería larga duración - Fácil instalación - Duración hasta 12 meses - Batería no recargable - Ideal para vivienda vacía;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BATTERYKIT-12M/AJ-BATTERYKIT-12M.png
AJ-BRACKETDP-B;AJAX;6;Soporte para contacto magnético - AJ-DOORPROTECT-B, AJ-DOORPROTECTPLUS-B - AJ-GLASSPROTECT-B - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETDP-B/AJ-BRACKETDP-B.png
AJ-BRACKETDP-W;AJAX;6;Soporte para contacto magnético - AJ-DOORPROTECT-W, AJ-DOORPROTECTPLUS-W - AJ-GLASSPROTECT-W - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETDP-W/AJ-BRACKETDP-W.png
AJ-BRACKETFP-B;AJAX;8;Soporte para detector de humo - AJ-FIREPROTECT-B y AJ-FIREPROTECTPLUS-B - Instalación sencilla - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETFP-B/AJ-BRACKETFP-B.png
AJ-BRACKETFP-W;AJAX;8;Soporte para detector de humo - AJ-FIREPROTECT-W y AJ-FIREPROTECTPLUS-W - Instalación sencilla - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETFP-W/AJ-BRACKETFP-W.png
AJ-BRACKETFP2-W;AJAX;5.94;Soporte para detector de humo - AJ-FIREPROTECT2-HSC-RB-W, - AJ-FIREPROTECT2-HSC-SB-W, - AJ-FIREPROTECT2-HS-RB-W, AJ-FIREPROTECT2-HS-SB-W - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETFP2-W/AJ-BRACKETFP2-W.png
AJ-BRACKETHS-B;AJAX;16;Soporte para sirena de interior - AJ-HOMESIREN-B - Instalación sencilla - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETHS-B/AJ-BRACKETHS-B.png
AJ-BRACKETHS-W;AJAX;16;Soporte para sirena de interior - AJ-HOMESIREN-W - Instalación sencilla - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETHS-W/AJ-BRACKETHS-W.png
AJ-BRACKETHUB-B;AJAX;16;Soporte para panel - AJ-HUB-B, AJ-HUBPLUS-B, AJ-HUB2-B, AJ-HUB2-4G-B - AJ-HUB2PLUS-B, AJ-REX-B y AJ-REX2-B - Instalación sencilla - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETHUB-B/AJ-BRACKETHUB-B.png
AJ-BRACKETHUB-W;AJAX;16;Soporte para panel - AJ-HUB-W, AJ-HUBPLUS-W, AJ-HUB2-W, AJ-HUB2-4G-W - AJ-HUB2PLUS-W, AJ-REX-W y AJ-REX2-W - Instalación sencilla - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETHUB-W/AJ-BRACKETHUB-W.png
AJ-BRACKETKP-B;AJAX;12;Soporte para teclado inalámbrico - AJ-KEYPAD-B - Instalación sencilla - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETKP-B/AJ-BRACKETKP-B.png
AJ-BRACKETKP-W;AJAX;12;Soporte para teclado inalámbrico - AJ-KEYPAD-W - Instalación sencilla - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETKP-W/AJ-BRACKETKP-W.png
AJ-BRACKETMAGNETDP-B;AJAX;6;Soporte para imán - AJ-DOORPROTECT-B, AJ-DOORPROTECTPLUS-B - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMAGNETDP-B/AJ-BRACKETMAGNETDP-B.png
AJ-BRACKETMAGNETDP-W;AJAX;6;Soporte para imán - AJ-DOORPROTECT-W, AJ-DOORPROTECTPLUS-W - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMAGNETDP-W/AJ-BRACKETMAGNETDP-W.png
AJ-BRACKETMC-B;AJAX;7.6;Soporte para fotodetector - AJ-MOTIONCAM-B - Instalación sencilla - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMC-B/AJ-BRACKETMC-B.png
AJ-BRACKETMC-W;AJAX;7.6;Soporte para fotodetector - AJ-MOTIONCAM-W - Instalación sencilla - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMC-W/AJ-BRACKETMC-W.png
AJ-BRACKETMCO-W;AJAX;20;Soporte para detector movimiento - AJ-MOTIONCAMOUTDOOR-W - AJ-MOTIONCAMOUTDOOR-PHOD-W - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMCO-W/AJ-BRACKETMCO-W.png
AJ-BRACKETMP-B;AJAX;8;Soporte para detector movimiento - AJ-MOTIONPROTECT-B, AJ-MOTIONPROTECTPLUS-B - AJ-COMBIPROTECT-B - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMP-B/AJ-BRACKETMP-B.png
AJ-BRACKETMP-W;AJAX;8;Soporte para detector movimiento - AJ-MOTIONPROTECT-W, AJ-MOTIONPROTECTPLUS-W - AJ-COMBIPROTECT-W - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMP-W/AJ-BRACKETMP-W.png
AJ-BRACKETMPC-B;AJAX;10;Soporte para detector de cortina - AJ-CURTAINPROTECT-B - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMPC-B/AJ-BRACKETMPC-B.png
AJ-BRACKETMPC-W;AJAX;10;Soporte para detector de cortina - AJ-CURTAINPROTECT-W - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMPC-W/AJ-BRACKETMPC-W.png
AJ-BRACKETMPO-W;AJAX;8;Soporte para detector movimiento exterior - AJ-OUTDOORPROTECT-W - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETMPO-W/AJ-BRACKETMPO-W.png
AJ-BRACKETSS-B;AJAX;16;Soporte para sirena de exterior - AJ-STREETSIREN-B - Instalación sencilla - Plástico ABS - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETSS-B/AJ-BRACKETSS-B.png
AJ-BRACKETSS-W;AJAX;16;Soporte para sirena de exterior - AJ-STREETSIREN-W - Instalación sencilla - Plástico ABS - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BRACKETSS-W/AJ-BRACKETSS-W.png
AJ-BTOTEM2-W-ES;AJAX;1800;Expositor Demo de pie - Kit de alarma profesional Grado 2 - Ajax MotionCam para envío de imágenes - Comunicación Ethernet y GPRS - Inalámbrico 868 MHz Jeweller - App Móvil y Software PC / Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BTOTEM2-W-ES/AJ-BTOTEM2-W-ES.png
AJ-BULLETCAM-4-HLVF-S-B;AJAX;482.46;"Cámara IP Superior Bullet 4 Megapíxel Ajax - 1/1.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-4-HLVF-S-B/AJ-BULLETCAM-4-HLVF-S-B.png
AJ-BULLETCAM-4-HLVF-S-W;AJAX;482.46;"Cámara IP Superior Bullet 4 Megapíxel Ajax - 1/1.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-4-HLVF-S-W/AJ-BULLETCAM-4-HLVF-S-W.png
AJ-BULLETCAM-5-0400-B;AJAX;245.6;Cámara IP Bullet 5 Megapixel Ajax - Progressive Scan CMOS - Lente 4 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-0400-B/AJ-BULLETCAM-5-0400-B.png
AJ-BULLETCAM-5-0400-HL-B;AJAX;254.92;"Cámara IP Bullet 5 Megapixel Ajax - 1/2.8"" Progressive Scan CMOS - Lente 4 mm | Ranura MicroSD hasta 256GB - IR 50 m | Luz blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-0400-HL-B/AJ-BULLETCAM-5-0400-HL-B.png
AJ-BULLETCAM-5-0400-HL-W;AJAX;254.92;"Cámara IP Bullet 5 Megapixel Ajax - 1/2.8"" Progressive Scan CMOS - Lente 4 mm | Ranura MicroSD hasta 256GB - IR 50 m | Luz blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-0400-HL-W/AJ-BULLETCAM-5-0400-HL-W.png
AJ-BULLETCAM-5-0400-W;AJAX;245.6;Cámara IP Bullet 5 Megapixel Ajax - Progressive Scan CMOS - Lente 4 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-0400-W/AJ-BULLETCAM-5-0400-W.png
AJ-BULLETCAM-5-B;AJAX;245.6;Cámara IP Bullet 5 Megapixel Ajax - Progressive Scan CMOS - Lente 2.8 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-B/AJ-BULLETCAM-5-B.png
AJ-BULLETCAM-5-HL-B;AJAX;254.92;"Cámara IP Bullet 5 Megapixel Ajax - 1/2.8"" Progressive Scan CMOS - Lente 2.8 mm | Ranura MicroSD hasta 256GB - IR 50 m | Luz blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-HL-B/AJ-BULLETCAM-5-HL-B.png
AJ-BULLETCAM-5-HL-W;AJAX;254.92;"Cámara IP Bullet 5 Megapixel Ajax - 1/2.8"" Progressive Scan CMOS - Lente 2.8 mm | Ranura MicroSD hasta 256GB - IR 50 m | Luz blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-HL-W/AJ-BULLETCAM-5-HL-W.png
AJ-BULLETCAM-5-HLVF-B;AJAX;348.44;"Cámara IP Bullet 5 Megapíxel Ajax - 1/2.7"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-HLVF-B/AJ-BULLETCAM-5-HLVF-B.png
AJ-BULLETCAM-5-HLVF-W;AJAX;348.44;"Cámara IP Bullet 5 Megapíxel Ajax - 1/2.7"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-HLVF-W/AJ-BULLETCAM-5-HLVF-W.png
AJ-BULLETCAM-5-W;AJAX;245.6;Cámara IP Bullet 5 Megapixel Ajax - Progressive Scan CMOS - Lente 2.8 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-W/AJ-BULLETCAM-5-W.png
AJ-BULLETCAM-8-0400-B;AJAX;327.5;Cámara IP Bullet 8 Megapixel Ajax - Progressive Scan CMOS - Lente 4 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-B/AJ-BULLETCAM-8-0400-B.png
AJ-BULLETCAM-8-0400-HL-B;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 4 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-HL-B/AJ-BULLETCAM-8-0400-HL-B.png
AJ-BULLETCAM-8-0400-HL-W;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 4 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-HL-W/AJ-BULLETCAM-8-0400-HL-W.png
AJ-BULLETCAM-8-0400-W;AJAX;327.5;Cámara IP Bullet 8 Megapixel Ajax - Progressive Scan CMOS - Lente 4 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-W/AJ-BULLETCAM-8-0400-W.png
AJ-BULLETCAM-8-B;AJAX;327.5;Cámara IP Bullet 8 Megapixel Ajax - Progressive Scan CMOS - Lente 2.8 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-B/AJ-BULLETCAM-8-B.png
AJ-BULLETCAM-8-HL-B;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 2.8 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HL-B/AJ-BULLETCAM-8-HL-B.png
AJ-BULLETCAM-8-HL-W;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 2.8 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HL-W/AJ-BULLETCAM-8-HL-W.png
AJ-BULLETCAM-8-HLVF-B;AJAX;482.46;"Cámara IP Bullet 8 Megapíxel Ajax - 1/2.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HLVF-B/AJ-BULLETCAM-8-HLVF-B.png
AJ-BULLETCAM-8-HLVF-S-B;AJAX;616.48;"Cámara IP Superior Bullet 8 Megapíxel Ajax - 1/1.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HLVF-S-B/AJ-BULLETCAM-8-HLVF-S-B.png
AJ-BULLETCAM-8-HLVF-S-W;AJAX;616.48;"Cámara IP Superior Bullet 8 Megapíxel Ajax - 1/1.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HLVF-S-W/AJ-BULLETCAM-8-HLVF-S-W.png
