name;brand;pvp;description;image;category;family;subcategory;product_type;series;technology;color;order
VDMS105GP;Switch poe 5 puertos;39.37;Switch poe 5 puertos MERCUSYS;https://m.media-amazon.com/images/I/51kCCOByNmL._AC_SX300_SY300_QL70_ML2_.jpg;Networking;Switches no gestionables;PoE;Switch PoE;;;;
VDMS108GP;Switch poe 8 puertos;49.22;Switch poe 8 puertos MERCUSYS;https://m.media-amazon.com/images/I/81icsN26MTL._AC_SY300_SX300_QL70_ML2_.jpg;Networking;Switches no gestionables;PoE;Switch PoE;;;;
GAG1105PD;Switch poe extender;76.89;Switch poe extender;https://m.media-amazon.com/images/I/51SxUsk3gvL._AC_SX300_SY300_QL70_ML2_.jpg;Networking;Switches no gestionables;PoE;Switch PoE;;;;
AJ-KEYPADCOMBI-W;AJAX;138.72;Teclado inalámbrico Ajax con sirena integrada, compatible con Pass, Tag y códigos Blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-KEYPADCOMBI-W/AJ-KEYPADCOMBI-W.png;Ajax Inalámbrico;Accesorios;Teclados;Teclado;;Jeweller;Blanco;
AJ-KEYPADCOMBI-B;AJAX;138.72;Teclado inalámbrico Ajax con sirena integrada, compatible con Pass, Tag y códigos Negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-KEYPADCOMBI-B/AJ-KEYPADCOMBI-B.png;Ajax Inalámbrico;Accesorios;Teclados;Teclado;;Jeweller;Negro;
FMCS57;Caja estanca conos;3.47;Caja estanca conos;;;;;;;;;
FMCS60;Caja estanca conos;5.94;Caja estanca conos;;;;;;;;;
LXM2M-CARD-ES;Tarjeta sim wuarda para centrales AJAX;39.00;Tarjeta sim wuarda para centrales AJAX;https://s.alicdn.com/@sc04/kf/H3cf9c729022d45139fd12ae13a7eecbdq.jpg_300x300.jpg;Ajax Inalámbrico;Accesorios;SIM / Comunicaciones;Tarjeta SIM M2M;;M2M / SIM;;
10110;Rack MURAL 4u;157.00;Rack MURAL 4u;;;;;;;;;
10111;Rack MURAL 6u;178.00;Rack MURAL 6u;;;;;;;;;
10112;Rack MURAL 9u;205.00;Rack MURAL 9u;;;;;;;;;
10113;Rack MURAL 12u;233.00;Rack MURAL 12u;;;;;;;;;
10114;Rack MURAL 15u;183.00;Rack MURAL 15u;;;;;;;;;
RACK-KEFR10-S0654;Rack de seguridad;171.32;Rack de seguridad;;;;;;;;;
KETP-61F;Panel de parcheo UTP 24p;58.15;Panel de parcheo UTP 24p;;;;;;;;;
KETP-6VF;Panel de parcheo vacio;25.70;Panel de parcheo vacio;;;;;;;;;
10128;Bandeja para rack Frontal 2U;38.00;Bandeja para rack Frontal 2U;;;;;;;;;
10120;Bandeja para rack lateral 1U;19.90;Bandeja para rack lateral 1U;;;;;;;;;
10123;Regleta de 8 enchufes para rack;49.50;Regleta de 8 enchufes para rack;;;;;;;;;
SW1008POE-100-E;;;Switch PoE;;Networking;Switches no gestionables;PoE;Switch PoE;;;;
SW0604POE-65-E;;;Switch PoE;;Networking;Switches no gestionables;PoE;Switch PoE;;;;
SF-SW0604HIPOE-60;;;Switch PoE;;Networking;Switches no gestionables;PoE;Switch PoE;;;;
SW8FE2FE-100W;;;Switch PoE;;Networking;Switches no gestionables;PoE;Switch PoE;;;;
